Tweet,Classification
"قيمتها مليار يورو.. إيطاليا تصادر 14 طناً من الكبتاغون أنتجها داعش في سوريا أعلنت الشرطة الإيطالية عن مصادرة كمية ضخمة من الأمفيتامين (حبوب الكبتاغون) تبلغ 14 طناً، وقالت الشرطة إن تنظيم داعش أنتجها في سوريا، وأوضحت أن الشحنة شملت 84 مليون حبة &amp;quot;كب...",N
اقرب ناس لقلبي معدوش هما هما اللي اعرفهم بتوع زمان واتغيرو بطريقة صعبه بجد ✔,N
"~| رَبّــي💛 أجِـبْ دعوَاآتِـي وآسْعِـدنِـي بِمَاآ أتمـنّـىٰ.،🍂|~ #حسابببب_",P
لا تستعجل ابدأ #حسابببب_,U
من شبّ على شيء شاب عليه. #حسابببب_,U
"لو وحشتك مره ، انتِ الف مره وحشتيني. ✨💯♥️",P
لو شخص غلط بحقكم اكثر من مره وهو وايد عزيز عليكم وش بتسوون؟,U
وفسّر الماء بعد الجهد بالماء. #حسابببب_,U
الحمدالله على نعمك يارب 💛,P
والصحّة أحيان على هيئة بشر لاشفت من تغليه شفت العافيه .,U
الصحة أصدرت (5) تقارير جديدة .. كورونا يقترب من حاجز (10) آلاف إصابة في السودان,N
الصمت عن بعض الكلام فضيلة #حسابببب_,U
"مختصر الحياة ﴿ ثم إليه ترجعون ﴾ جميع ملذّات هذه الدنيا ستفقدها، وسيبقى عملك فقط .",U
صباح الخير يآ أصدقاء 🙋🏾‍♀️♥️♥️ قهوة أول يوم دوام بعد اجازة 92 يوم بسبب جائحة كورونا .,P
اللهُمّ‌ راحةً طويلة وقلباً‌ راضياً‌ بكل‌ شيء. #حسابببب_,P
واهوه بكره نقول كانت ذكري وعشنالنا يومين 🎶🖤.,P
الفلافل شيء عظيم (@ فلافل لبنان),P
"مع هذا الصباح نستودعك اللهم كل أمور يومنا هذا فاكتب لنا فيه من كل خير وامنع عنا كل شر ، اللهم اجعله حاملاً لنا من المسرات ..",P
"الحملة التوعوية ستنفذ على منصات التواصل الاجتماعي، وفي شبكات إذاعية محلية، بعدة لغات، إضافة إلى منشورات توعية داخلية للموظفين، للتوعية بترشيد استهلاك الطاقة، والتي تستمر طيلة شهور الصيف #صيفنا_آمن_موفر #الامارات #ابوظبي #دبي",P
"مصر تكشف ""مفاجأة"" بشأن سد النهضة.. وتحذر من كارثة ""كبرى"" !",N
شو عملتو ب لبنان حاكم المصرف المصارف الصرافين الهيئات الاقتصاديه نص الشعب اللبناني معه جنسيه تانيه لحد هلق ٢٥٠ الف مواطن يستعد للمغادره خليكم انتو الزعماء الفاسدين والحراميه واولادكم لحالكم ب لبنان ياعيب الشوووم ما فيكم تنظمو دوله بلا السحسوح .,N
ربِ اسألك العمل الصالح والرزق الحلال المبارك,P
مصر تسجل 1503 إصابات جديدة بكورونا و81 حالة وفاة,N
إذا بتكلمني برسميات بعد الميانه ياريت لا تكلمني.,U
جائحة كورونا لاتزال مستمرة من ناحية الإصابات في دولتنا لذا لا نزال بحاجة ماسة إلى بذل المزيد من الإنفاق ولكي نتفادى أزمات اقتصادية مستقبلية كان لابد من بعض القرارات العاجلة والضرورية #المضافة,N
اللهم اغفر لي كل صلاه لا تليق بجلال وجهك الكريم .حضر فيها جسدي وغاب عنها خشوع قلبي💙,P
"١٤ عاماً على عدوان الصهيوني على لبنان حيث لم تكسر المقاومة و الشعب اللبناني، و هزمت رمزياً ايرائيل، و نرى اين اصبحت و اين نحن. ، لان النفط استخرجته اسرائيل و اصبحت من رواد التكنولوجيا و الطب في العالم و نحن نحتفل بذكرى انتصار. العالم ينتصر بالتقدم، و نحن نرجع الى زمن اهل الكهف.",N
اعرف من اللي بينتهض لو ابنخاه و اعرف من اللي يرتبك لا نخيته احدن اجيه اضيع الوقت وياه و احدن ليا ضيعني الوقت جيته,U
"""من أجمل أنواع الرزق أن يهبك الله من يهوّن عليك الدنيا، ولا تهن عليه أبدا💛"".",P
"أيقنت إنني بالدنيا حظوظي عدم مسرات دنياي مالي فيها نصيب،بعيني شف ذهول شخص إنصدم،شف موت الهقاوي ياكيف تخيب،شف الهم والغم والحسرات والندم،شف شتات إنسان وجرح عطيب،شف عشق طاهر بالدنياا إنهدم،شف حالتي ليامر طيف الحبيب وصاحبي غدر،شف بعيوني دمعها إنتثر دَددم،شف معانق حزن بلا شك ريب.",N
رجلي تبي المسرى وعيني تبي النوم ويطري على بالي علوم وطواري بلشان في صدري هواجيس وعلوم والهم لاجاء الليل جاء معه ساري,N
يارب انام النومه الي تخلي الناس تقول للحين هذي نايمه,U
"وأسألك العوض، العوض عن كل سوءٍ رأيته يا اللّه.",P
حتى انا يا اصاله جيت ابحكي ماحكيت ..,U
حوبة مصر و نيتة حكومة #اثيوبيا الشينه في المصريين #أديس_أبابا,N
"من كنوز الثقة انك تثق بالله ثم بذاتك رغم أي ضعف اوفشل ، ولاتتجاهل القصور بل اعترف به وتعلم منه فلا أحد كامل اويتوقع منك الكمال ، إن لم تثق بنفسك فمن سيثق بك ؟ صباح النور والسرور",P
